1 5.00000000000000000000e-01 1.50000000000000000000e+00
2 2.50000000000000000000e-01 1.25000000000000000000e+00
3 1.25000000000000000000e-01 1.12500000000000000000e+00
4 6.25000000000000000000e-02 1.06250000000000000000e+00
5 3.12500000000000000000e-02 1.03125000000000000000e+00
6 1.56250000000000000000e-02 1.01562500000000000000e+00
7 7.81250000000000000000e-03 1.00781250000000000000e+00
8 3.90625000000000000000e-03 1.00390625000000000000e+00
9 1.95312500000000000000e-03 1.00195312500000000000e+00
10 9.76562500000000000000e-04 1.00097656250000000000e+00
11 4.88281250000000000000e-04 1.00048828125000000000e+00
12 2.44140625000000000000e-04 1.00024414062500000000e+00
13 1.22070312500000000000e-04 1.00012207031250000000e+00
14 6.10351562500000000000e-05 1.00006103515625000000e+00
15 3.05175781250000000000e-05 1.00003051757812500000e+00
16 1.52587890625000000000e-05 1.00001525878906250000e+00
17 7.62939453125000000000e-06 1.00000762939453125000e+00
18 3.81469726562500000000e-06 1.00000381469726562500e+00
19 1.90734863281250000000e-06 1.00000190734863281250e+00
20 9.53674316406250000000e-07 1.00000095367431640625e+00
21 4.76837158203125000000e-07 1.00000047683715820312e+00
22 2.38418579101562500000e-07 1.00000023841857910156e+00
23 1.19209289550781250000e-07 1.00000011920928955078e+00
24 5.96046447753906250000e-08 1.00000005960464477539e+00
25 2.98023223876953125000e-08 1.00000002980232238770e+00
26 1.49011611938476562500e-08 1.00000001490116119385e+00
27 7.45058059692382812500e-09 1.00000000745058059692e+00
28 3.72529029846191406250e-09 1.00000000372529029846e+00
29 1.86264514923095703125e-09 1.00000000186264514923e+00
30 9.31322574615478515625e-10 1.00000000093132257462e+00
31 4.65661287307739257812e-10 1.00000000046566128731e+00
32 2.32830643653869628906e-10 1.00000000023283064365e+00
33 1.16415321826934814453e-10 1.00000000011641532183e+00
34 5.82076609134674072266e-11 1.00000000005820766091e+00
35 2.91038304567337036133e-11 1.00000000002910383046e+00
36 1.45519152283668518066e-11 1.00000000001455191523e+00
37 7.27595761418342590332e-12 1.00000000000727595761e+00
38 3.63797880709171295166e-12 1.00000000000363797881e+00
39 1.81898940354585647583e-12 1.00000000000181898940e+00
40 9.09494701772928237915e-13 1.00000000000090949470e+00
41 4.54747350886464118958e-13 1.00000000000045474735e+00
42 2.27373675443232059479e-13 1.00000000000022737368e+00
43 1.13686837721616029739e-13 1.00000000000011368684e+00
44 5.68434188608080148697e-14 1.00000000000005684342e+00
45 2.84217094304040074348e-14 1.00000000000002842171e+00
46 1.42108547152020037174e-14 1.00000000000001421085e+00
47 7.10542735760100185871e-15 1.00000000000000710543e+00
48 3.55271367880050092936e-15 1.00000000000000355271e+00
49 1.77635683940025046468e-15 1.00000000000000177636e+00
50 8.88178419700125232339e-16 1.00000000000000088818e+00
51 4.44089209850062616169e-16 1.00000000000000044409e+00
52 2.22044604925031308085e-16 1.00000000000000022204e+00
53 1.11022302462515654042e-16 1.00000000000000000000e+00
